sha256,apt_group,c2,Subdomain,Domain
42e067befc7d3493834802bb28318a65592b7b3aeeb3f34759dea0b2e9b1815f,syrian electronic army,31.9.48.84:82,,31.9.48.84
42e067befc7d3493834802bb28318a65592b7b3aeeb3f34759dea0b2e9b1815f,syrian electronic army,31.9.48.84:999,,31.9.48.84
4fe44a5c589c6d81d6c2b54b648303b3c8beb7569ef95a464572d820bb278c7c,apt2014,31.9.48.141:5552,,31.9.48.141
4fe44a5c589c6d81d6c2b54b648303b3c8beb7569ef95a464572d820bb278c7c,syrian electronic army,31.9.48.141:5552,,31.9.48.141
2cf6e54c68d72d0926a5ea3bfb3ac4756fa24698aed454a503da98d35d87e1b0,apt2014,hhhhhkrufnrrrs1982.zapto.org:1177,hhhhhkrufnrrrs1982,zapto
2cf6e54c68d72d0926a5ea3bfb3ac4756fa24698aed454a503da98d35d87e1b0,syrian electronic army,hhhhhkrufnrrrs1982.zapto.org:1177,hhhhhkrufnrrrs1982,zapto
a692bbe64eda1b685473527488355056a35fb2decb24eef00dcacbe888e8d5a5,apt2014,31.9.48.141:1990,,31.9.48.141
a692bbe64eda1b685473527488355056a35fb2decb24eef00dcacbe888e8d5a5,syrian electronic army,31.9.48.141:1990,,31.9.48.141
0c317341cd70a643e42b32337344378d7ca7e7ac2227fa55b02f4fc01f9e8868,apt2014,basharalassad1.no-ip.biz:5011,basharalassad1,no-ip
0c317341cd70a643e42b32337344378d7ca7e7ac2227fa55b02f4fc01f9e8868,syrian electronic army,basharalassad1.no-ip.biz:5011,basharalassad1,no-ip
991bc8851ad4dbe736b077d6caf9ad09101e8d261f9db13b454d7011ed826192,apt2014,hhhhhkrufnrrrs1982.zapto.org:1177,hhhhhkrufnrrrs1982,zapto
991bc8851ad4dbe736b077d6caf9ad09101e8d261f9db13b454d7011ed826192,syrian electronic army,hhhhhkrufnrrrs1982.zapto.org:1177,hhhhhkrufnrrrs1982,zapto
dc8c23bc6311a4c7f073e3227f392bfb163724f257d08d258d6a3f608b13f9e7,apt2014,basharalassad1.no-ip.biz:5010,basharalassad1,no-ip
dc8c23bc6311a4c7f073e3227f392bfb163724f257d08d258d6a3f608b13f9e7,syrian electronic army,basharalassad1.no-ip.biz:5010,basharalassad1,no-ip
e98adb3d4a0d1d35af9e8ca21746402e98904e39db6a99a54fd8f029c8c094a3,apt2014,tn5.linkpc.net:83,tn5,linkpc
e98adb3d4a0d1d35af9e8ca21746402e98904e39db6a99a54fd8f029c8c094a3,syrian electronic army,tn5.linkpc.net:83,tn5,linkpc
b63f62172044bd031a3db84eb67e874dcf191d18f2789a792ba40096a244b2c2,apt2014,10.0.2.15:21,,10.0.2.15
b63f62172044bd031a3db84eb67e874dcf191d18f2789a792ba40096a244b2c2,syrian electronic army,10.0.2.15:21,,10.0.2.15
ad06e03fdd9eff480ca623ea23ec87c794d99ae6dda308c979fa5173b2b8a514,apt2014,108.175.152.230:4444,,108.175.152.230
